SKU,NAME,PRICE,RETAIL_PRICE,WEIGHT,LENGTH,WIDTH,HEIGHT,QUANTITY,LASTUPDATE,LAST_QUANTITY_UPDATE,LAST_PRICE_UPDATE,LAST_PRICE_CHANGE,ITMGRP_NAME,CLASS1_NAME,CLASS2_NAME,BARCODE1
FCA2922,"Assorted Cluster Cookies, 2Pc",7,14,0,0,0,0,0,5/24/2016,5/24/2016,9/7/2012,-1.5,FOOD,DESSERT,NONE,
FCA2933,"Vanilla Milk Shake, 2Pc",5.75,11.5,0,0,0,0,0,11/10/2016,11/10/2016,2/26/2011,1.75,FOOD,DESSERT,NONE,
FCA2937,.Fruit Cups,7,14,0,0,0,0,12,2/13/2019,1/30/2019,10/18/2010,0.35,FOOD,DESSERT,NONE,
FCA2944,"Hamburger And Fries, 1Pc",4.5,9,0,0,0,0,0,10/2/2016,8/10/2011,10/18/2010,0.22,FOOD,MISC,NONE,
FCA3075,"Assorted Squash, 11Pc",9.75,19.5,0,0,0,0,12,11/29/2018,11/29/2018,2/26/2011,2,FOOD,VEGETABLES,NONE,
FCA3255,"Cauliflower, 6Pc",6,12,0,0,0,0,0,3/22/2017,3/22/2017,2/26/2011,1.2,FOOD,VEGETABLES,NONE,
FCA3257,"Zuchini, 6Pc",4.8,9.6,0,0,0,0,12,12/31/2018,12/31/2018,3/14/2013,1.8,FOOD,VEGETABLES,NONE,
FCA3259,Green Onions/6Pc,6,12,0,0,0,0,1,10/2/2016,10/21/2014,3/14/2013,1.5,FOOD,VEGETABLES,NONE,
FCA3260,"Snap Peas, 6Pc",4.8,9.6,0,0,0,0,7,3/21/2018,3/21/2018,3/14/2013,3,FOOD,VEGETABLES,NONE,
FCA3262,"Onions,  6Pc",4.8,9.6,0,0,0,0,13,3/25/2019,3/25/2019,3/14/2013,1.8,FOOD,VEGETABLES,NONE,
FCA3263,"Green & Red Tomatoes, 6Pc",4.8,9.6,0,0,0,0,6,4/13/2018,4/13/2018,3/14/2013,1.8,FOOD,VEGETABLES,NONE,
FCA3265,"Red Chilies, 6Pc",4.8,9.6,0,0,0,0,1,3/22/2018,3/22/2018,3/14/2013,1.8,FOOD,VEGETABLES,NONE,
FCA3366GN,"Green Grapes, 6 Bunch",7.5,15,0,0,0,0,0,9/18/2018,9/18/2018,3/14/2013,2,FOOD,FRUIT,NONE,
FCA3366RD,"Red Grapes, 6 Bunch",7.5,15,0,0,0,0,0,5/13/2017,5/13/2017,3/14/2013,2,FOOD,FRUIT,NONE,
FCA3618,"Cake, 2Pc",7,14,0,0,0,0,0,10/2/2016,11/15/2011,10/18/2010,0.35,FOOD,CAKES & PIES,NONE,
FCA3621,"Cake, 2Pc",9,18,0,0,0,0,0,10/2/2016,8/28/2014,10/18/2010,0.45,FOOD,CAKES & PIES,NONE,
FCA3623,"Cake, 2Pc",7,14,,,,,0,2/13/2014,12/5/2008,10/18/2010,0.35,FOOD,CAKES & PIES,NONE,
FCA3625,"Cake, 2Pc",7,14,0,0,0,0,0,10/2/2016,12/15/2014,10/18/2010,0.35,FOOD,CAKES & PIES,NONE,
FCA3628,"Cake, 2Pc",7,14,0,0,0,0,0,10/2/2016,3/5/2016,10/18/2010,0.35,FOOD,CAKES & PIES,NONE,
FCA3630,"Cake, 2Pc",7,14,,,,,0,2/13/2014,12/15/2010,12/15/2010,0,FOOD,CAKES & PIES,NONE,
FCA3633,"Cake, 2Pc",7,14,0,0,0,0,0,10/2/2016,6/1/2016,10/18/2010,0.35,FOOD,CAKES & PIES,NONE,
FCA3639,"Cake, 2Pc",7,14,0,0,0,0,3,3/25/2019,3/25/2019,10/18/2010,0.35,FOOD,CAKES & PIES,NONE,
FCA3668,"Cake, 2Pc",5,10,0,0,0,0,0,10/2/2016,9/4/2013,10/18/2010,0.25,FOOD,CAKES & PIES,NONE,
FCA3674,"Cake, 2Pc",5,10,0,0,0,0,0,12/15/2014,12/15/2014,10/18/2010,0.25,FOOD,CAKES & PIES,NONE,
FCA3716,"Cake, 2Pcs",7,14,0,0,0,0,0,12/15/2014,12/15/2014,10/18/2010,0.35,FOOD,CAKES & PIES,NONE,
FCA3718,"Cake, 2Pcs",7,14,0,,,,0,2/13/2014,12/5/2008,10/18/2010,0.35,FOOD,CAKES & PIES,NONE,
FCA4374,Bread Basket,12,24,,,,,0,2/13/2014,10/31/2012,10/31/2012,0,FOOD,BREADS AND ROLLS,NONE,
FCA4375,Bread Basket,12,24,,,,,0,2/13/2014,10/31/2012,10/31/2012,0,FOOD,BREADS AND ROLLS,NONE,
FCA4376,Bread Basket,7,14,,,,,0,2/13/2014,10/31/2012,10/31/2012,0,FOOD,BREADS AND ROLLS,NONE,
FCA4377,Bread Basket,7,14,,,,,0,2/13/2014,10/31/2012,10/31/2012,0,FOOD,BREADS AND ROLLS,NONE,
FCA4378,Bread Basket,9,18,,,,,0,2/13/2014,10/31/2012,10/31/2012,0,FOOD,BREADS AND ROLLS,NONE,
FCA4379,Bread Basket,9,18,,,,,0,2/13/2014,10/31/2012,10/31/2012,0,FOOD,BREADS AND ROLLS,NONE,
FCA4380,Bread Basket,6,12,,,,,0,2/13/2014,10/31/2012,10/31/2012,0,FOOD,BREADS AND ROLLS,NONE,
