SKU,NAME,PRICE,RETAIL_PRICE,WEIGHT,LENGTH,WIDTH,HEIGHT,QUANTITY,LASTUPDATE,LAST_QUANTITY_UPDATE,LAST_PRICE_UPDATE,LAST_PRICE_CHANGE,ITMGRP_NAME,CLASS1_NAME,CLASS2_NAME,BARCODE1
HR53925,Bavarian Pilsner Beer-Bottle-Vintage,1.5,3,0,0,0,0,6,4/3/2019,4/3/2019,5/22/2012,0.25,BEVERAGES,ALCOHOL,NONE,
HR53929,Stone Meadow Burgundy,1.5,3,0,0,0,0,5,4/9/2019,4/9/2019,7/21/2012,0.25,BEVERAGES,ALCOHOL,NONE,
HR53930,Deer Hill Cabernet Sauvignon,1.5,3,0,0,0,0,9,4/3/2019,4/3/2019,5/22/2012,0.25,BEVERAGES,ALCOHOL,NONE,
HR53931,Oak Ridge Merlot,1.5,3,0,0,0,0,0,4/9/2019,4/9/2019,1/31/2012,0.25,BEVERAGES,ALCOHOL,NONE,
HR53932,Mayetta Chianti,1.5,3,0,0,0,0,6,3/6/2019,3/6/2019,3/3/2012,0.25,BEVERAGES,ALCOHOL,NONE,
HR53933,Lanoka Valley Pinot Noir,1.5,3,0,0,0,0,6,4/16/2019,4/16/2019,2/6/2013,0.25,BEVERAGES,ALCOHOL,NONE,
HR53934,Pine Crest Cabernet Sauvianon,1.5,3,0,0,0,0,2,4/22/2019,4/22/2019,1/31/2012,0.25,BEVERAGES,ALCOHOL,NONE,
HR53935,Maplewood Sauvignon,1.5,3,0,0,0,0,8,3/25/2019,3/25/2019,5/22/2012,0.25,BEVERAGES,ALCOHOL,NONE,
HR53936,Laurel Ridge Chardonnay,1.5,3,0,0,0,0,5,4/22/2019,4/22/2019,3/3/2012,0.25,BEVERAGES,ALCOHOL,NONE,
HR53937,Park Ridge Chablis,1.5,3,0,0,0,0,8,2/28/2019,2/28/2019,5/22/2012,0.25,BEVERAGES,ALCOHOL,NONE,
HR53938,Stone Canyon White Riesling,1.5,3,0,0,0,0,0,4/9/2019,4/9/2019,7/21/2012,0.25,BEVERAGES,ALCOHOL,NONE,
HR53940,Oak Meadow White Zinfandel,1.5,3,0,0,0,0,6,4/15/2019,4/15/2019,1/31/2012,0.25,BEVERAGES,ALCOHOL,NONE,
HR53941,Stone Cold Ice Beer,1.5,3,0,0,0,0,5,3/15/2019,3/15/2019,2/6/2013,0.25,BEVERAGES,ALCOHOL,NONE,
HR53942,West Creek Bock Beer,1.5,3,0,0,0,0,5,9/15/2018,9/15/2018,10/21/2015,-0.25,BEVERAGES,ALCOHOL,NONE,
HR53943,On Tap Draft Beer,1.5,3,0,0,0,0,12,7/14/2018,7/14/2018,7/12/2013,0.25,BEVERAGES,ALCOHOL,NONE,
HR53944,Artic Bay Light Beer,1.5,3,0,0,0,0,6,3/29/2019,3/29/2019,5/22/2012,0.25,BEVERAGES,ALCOHOL,NONE,
HR53945,Amerst Ale,1.5,3,0,0,0,0,0,4/3/2019,4/3/2019,6/13/2017,-0.25,BEVERAGES,ALCOHOL,NONE,
HR53946,Meur & Carrou Champagne,1.5,3,0,0,0,0,0,4/1/2019,4/1/2019,12/23/2009,0,BEVERAGES,ALCOHOL,NONE,
HR53947,Charles Debeau Champagne,1.5,3,0,0,0,0,0,4/1/2019,4/1/2019,12/2/2014,0,BEVERAGES,ALCOHOL,NONE,
HR53948,Korvele Champagne,1.5,3,0,0,0,0,0,3/20/2019,3/20/2019,12/23/2009,0,BEVERAGES,ALCOHOL,NONE,
HR53949,"Wine Set #1-Merlot, Blanc, Stone Canyon White",4.5,9,0,0,0,0,0,3/13/2019,3/13/2019,5/22/2012,0.75,BEVERAGES,ALCOHOL,NONE,
HR53950,Wine Set #2 - 3Pcs,4.5,9,0,0,0,0,1,4/30/2019,4/30/2019,5/22/2012,0.75,BEVERAGES,ALCOHOL,NONE,
HR53951,"Wine Set #3-Cabernet, Pino Noir, Chianti",4.5,9,0,0,0,0,0,3/13/2019,3/13/2019,3/3/2012,0.75,BEVERAGES,ALCOHOL,NONE,
HR53952,"Champagne Set - Meur & Ccarrou, Chales Debeau, Kor",4.5,9,0,0,0,0,3,4/3/2019,4/3/2019,12/23/2009,0,BEVERAGES,ALCOHOL,NONE,
HR53953,"Beer Set #1-Stone,Westcreek,Articbay",4.5,9,0,0,0,0,4,10/5/2018,10/5/2018,7/21/2012,0.75,BEVERAGES,ALCOHOL,NONE,
