SKU,NAME,PRICE,RETAIL_PRICE,WEIGHT,LENGTH,WIDTH,HEIGHT,QUANTITY,LASTUPDATE,LAST_QUANTITY_UPDATE,LAST_PRICE_UPDATE,LAST_PRICE_CHANGE,ITMGRP_NAME,CLASS1_NAME,CLASS2_NAME,BARCODE1
IM66125,Brass Towel Rack,5.5,10.99,0,0,0,0,0,5/23/2018,5/23/2018,5/4/2012,-0.3,ACCESSORIES,BED AND BATH,NONE,7.32E+11
IM66130,"Garden Tools, 3/Pk",2.25,4.49,0,0,0,0,250,7/26/2018,7/24/2018,7/26/2018,-0.65,ACCESSORIES,TOOLS,NONE,7.32E+11
IM66140,Tool Box with 8 Tools,2.5,4.99,0,0,0,0,208,4/30/2019,4/30/2019,6/10/2016,-0.1,ACCESSORIES,TOOLS,NONE,7.32E+11
IM66145,Gold Tone Picture Frame,2.1,4.19,0,0,0,0,75,4/4/2019,4/4/2019,6/13/2012,0.1,ACCESSORIES,PICTURES & FRAMES,NONE,7.32E+11
IM66150,Antique Gold Frame,1.6,3.19,0,0,0,0,250,4/3/2019,4/3/2019,12/10/2011,0.02,ACCESSORIES,PICTURES & FRAMES,NONE,7.32E+11
IM66165,"Wooden Book Set, 4pc",1.5,2.99,0,0,0,0,250,4/11/2019,4/3/2019,4/11/2019,0.45,ACCESSORIES,BOOKS & MAGAZINES,NONE,7.32E+11
IM66180,"Framed Picture Frame (Assorted), 1pc",1.75,3.5,0,0,0,0,124,4/9/2019,4/9/2019,7/31/2012,0.25,ACCESSORIES,PICTURES & FRAMES,NONE,7.32E+11
IM66190,.White Porcelain Mirror,1.65,3.29,0,0,0,0,250,2/8/2017,6/28/2014,12/24/2011,0.05,ACCESSORIES,MIRRORS,NONE,7.32E+11
IM66200,Planter Tub,1.15,2.29,0,0,0,0,144,4/30/2019,4/30/2019,12/10/2011,-0.01,ACCESSORIES,GARDEN,NONE,7.32E+11
IM66210,Birdcage with  Bird,5,9.99,0,0,0,0,0,11/23/2016,6/4/2014,5/4/2012,1.3,ACCESSORIES,PET FOOD & SUPPLIES,NONE,7.32E+11
IM66215,Brass Coat Tree,2.3,4.59,0,0,0,0,250,11/7/2017,11/7/2017,6/10/2016,-0.4,ACCESSORIES,MISC,NONE,7.32E+11
IM66220,Brass Fireplace Screen,3.5,6.99,0,0,0,0,213,3/25/2019,3/25/2019,6/10/2016,-0.5,ACCESSORIES,FIREPLACE,NONE,7.32E+11
IM66221,Black Fireplace Screen,3.5,6.99,0,0,0,0,72,4/9/2019,4/9/2019,6/10/2016,-0.5,ACCESSORIES,,,7.32E+11
IM66225,Brass Peacock Fireplace Screen,4.15,8.29,0,0,0,0,250,4/3/2019,4/3/2019,6/9/2016,-0.95,ACCESSORIES,FIREPLACE,NONE,7.32E+11
IM66226,Black Peacock Fireplace Screen,4.15,8.29,0,0,0,0,141,3/25/2019,3/25/2019,6/22/2016,-0.95,ACCESSORIES,,,7.32E+11
IM66230,"Brass Fireplace Accessories, 4pc",5.5,10.99,0,0,0,0,196,4/18/2019,4/18/2019,6/22/2016,-0.75,ACCESSORIES,FIREPLACE,NONE,7.32E+11
IM66234,Black Fireplace Accessories,4.15,8.29,0,0,0,0,250,11/23/2016,6/22/2016,6/22/2016,-1.15,ACCESSORIES,,,7.32E+11
IM66235,"Brass Fireplace Accessories with Clock, 8pc",4.15,8.29,0,0,0,0,250,11/23/2016,6/22/2016,6/22/2016,-0.65,ACCESSORIES,FIREPLACE,CLOCKS,7.32E+11
IM66236,"Fireplace Accessories, 4pc",1.5,2.99,0,0,0,0,250,4/3/2019,4/3/2019,6/10/2016,-0.1,ACCESSORIES,FIREPLACE,NONE,7.32E+11
IM66250,Wash Tub,0.9,1.79,0,0,0,0,250,4/3/2019,4/3/2019,5/12/2011,0.01,ACCESSORIES,MISC,NONE,7.32E+11
IM66255,Red Flyer Sled,1.65,3.29,0,0,0,0,250,4/3/2019,4/3/2019,7/26/2018,-0.6,ACCESSORIES,TOYS,NONE,7.32E+11
IM66265,Large Red Wagon,2.2,4.39,0,0,0,0,250,11/23/2016,12/19/2013,12/18/2013,-0.01,ACCESSORIES,TOYS,NONE,7.32E+11
IM66315,"Rifles, 2/Pk",1.15,2.29,0,0,0,0,250,11/23/2016,8/29/2015,9/17/2015,-0.2,ACCESSORIES,SPORTS,NONE,7.32E+11
IM66355,"Cookware, 10/Pk Silver",1.65,3.29,0,0,0,0,60,4/8/2019,4/8/2019,10/2/2013,0.15,ACCESSORIES,COOKWARE,NONE,7.32E+11
IM66365,Croquet Set,2.15,4.29,0,0,0,0,250,4/3/2019,4/3/2019,6/10/2016,-0.25,ACCESSORIES,SPORTS,NONE,7.32E+11
IM66390,Radiator,1.5,2.99,0,0,0,0,1,4/30/2019,4/30/2019,2/2/2017,-0.15,ACCESSORIES,MISC,NONE,7.32E+11
IM66395,"Axe Set, 3/Pk",1.4,2.79,0,0,0,0,250,11/23/2016,12/19/2013,3/31/2012,0.05,ACCESSORIES,TOOLS,NONE,7.32E+11
IM66400,"Golf Club Set, Club & Ball, 2pc",0.8,1.59,0,0,0,0,250,4/3/2019,4/3/2019,12/10/2011,0.01,ACCESSORIES,SPORTS,NONE,7.32E+11
IM66405,Brass Bird Cage,4.5,8.99,0,0,0,0,0,4/10/2018,4/10/2018,5/4/2012,1.1,ACCESSORIES,PET FOOD & SUPPLIES,NONE,7.32E+11
IM66430,"Basket, Tall",1.5,2.99,0,0,0,0,250,4/11/2019,4/3/2019,4/11/2019,0.2,ACCESSORIES,BASKETS,NONE,7.32E+11
IM66435,"Dress Mannequin, Black",2,3.99,0,0,0,0,250,8/9/2018,7/18/2018,8/9/2018,-0.25,ACCESSORIES,SEWING ROOM,NONE,7.32E+11
IM66436,"Dress Mannequin, Cream",2,3.99,0,0,0,0,250,8/9/2018,4/3/2015,8/9/2018,-0.25,ACCESSORIES,,,7.32E+11
IM66450,"Hat Stand, Tall   (Azt8408)",1.05,2.09,0,0,0,0,250,4/3/2019,4/3/2019,12/10/2011,0.05,ACCESSORIES,HATS,NONE,7.32E+11
IM67006,Wood Chair,0.9,1.8,0,0,0,0,83,3/25/2019,3/25/2019,6/18/2012,0.1,ACCESSORIES,MISC,NONE,7.32E+11
IM67010,"Roll Of Film, NTS",1.15,2.29,0,0,0,0,92,3/25/2019,3/25/2019,10/28/2011,0.55,ACCESSORIES,MISC,NONE,7.32E+11
IM67014,".Cannon, NTS",1.1,2.19,0,0,0,0,222,4/15/2019,4/15/2019,12/10/2011,-0.01,ACCESSORIES,MISC,NONE,7.32E+11
IM67050,"Pitcher & Bowl, 2pc",2.1,4.19,0,0,0,0,79,3/25/2019,3/25/2019,12/12/2013,0.15,ACCESSORIES,PITCHERS,NONE,7.32E+11
IM67055,"Dice, 6Pk, Assorted Colors",1.05,2.09,0,0,0,0,250,4/3/2019,4/3/2019,12/10/2011,0.05,ACCESSORIES,GAMES,NONE,7.32E+11
IM67062,Blue Bowling Bag with Ball and Pin,2,3.99,0,0,0,0,250,11/7/2017,11/7/2017,2/2/2017,-0.25,ACCESSORIES,SPORTS,NONE,7.32E+11
ISL0126,Spade Shovel,5.25,10.5,0,0,0,0,6,4/30/2019,4/30/2019,1/31/2012,1.5,ACCESSORIES,TOOLS,NONE,
ISL0129,Large Axe,3.65,7.3,0,0,0,0,8,2/22/2019,2/22/2019,1/31/2012,0.9,ACCESSORIES,TOOLS,NONE,
ISL0137,Small Axe,2.2,4.4,0,0,0,0,2,1/22/2019,1/22/2019,1/31/2012,0.45,ACCESSORIES,TOOLS,NONE,
ISL0170,Snow Shovel,3.5,7,0,0,0,0,10,2/6/2019,2/6/2019,1/31/2012,0.75,ACCESSORIES,TOOLS,NONE,
ISL0191,Spade Shovel Long Handle,5.25,10.5,0,0,0,0,2,12/7/2018,12/7/2018,1/31/2012,1.5,ACCESSORIES,TOOLS,NONE,
